sample-id	sample_type	sample	genotype	species	resistance	local_sep	SampleID
S3-16S-Root-endo-16S	RE	GW9823 #5	GW9823	P. trichocarpa	trichocarpa - resistant	11.15151567	S3
S3-16S-Root-endo-16S_run3	RE	GW9823 #5	GW9823	P. trichocarpa	trichocarpa - resistant	11.15151567	S3
S3-16S-Rhizo	RH	GW9823 #5	GW9823	P. trichocarpa	trichocarpa - resistant	13.84043381	S3
S30-16S-Leaf-Endo	LE	GW9823 #49	GW9823	P. trichocarpa	trichocarpa - resistant	35.51084874	S30
S30-16S-Leaf-wash-redo	LW	GW9823 #49	GW9823	P. trichocarpa	trichocarpa - resistant	4.62866239	S30
S30-16S-Leafwash-16S_run3	LW	GW9823 #49	GW9823	P. trichocarpa	trichocarpa - resistant	4.62866239	S30
S30-16S-Leafwash-Endo-Endo	LW	GW9823 #49	GW9823	P. trichocarpa	trichocarpa - resistant	4.62866239	S30
S30-16S-Root-endo-16S	RE	GW9823 #49	GW9823	P. trichocarpa	trichocarpa - resistant	1.251887493	S30
S30-16S-Rhizo	RH	GW9823 #49	GW9823	P. trichocarpa	trichocarpa - resistant	18.28847165	S30
S37-16S-Leaf-Endo	LE	BESC835 #42	BESC835	P. trichocarpa	trichocarpa - resistant	2.974522715	S37
S37-16S-Leaf-Endo-redo	LE	BESC835 #42	BESC835	P. trichocarpa	trichocarpa - resistant	2.974522715	S37
S37-16S-Leaf-wash-run2	LW	BESC835 #42	BESC835	P. trichocarpa	trichocarpa - resistant	176.3759027	S37
S37-16S-Leafwash-16S_run3	LW	BESC835 #42	BESC835	P. trichocarpa	trichocarpa - resistant	176.3759027	S37
S37-16S-Leafwash-Endo-Endo	LW	BESC835 #42	BESC835	P. trichocarpa	trichocarpa - resistant	176.3759027	S37
S37-16S-Root-endo-16S	RE	BESC835 #42	BESC835	P. trichocarpa	trichocarpa - resistant	2.251397661	S37
S37-16S-Root-endo-16S_run3	RE	BESC835 #42	BESC835	P. trichocarpa	trichocarpa - resistant	2.251397661	S37
S37-16S-Rhizo	RH	BESC835 #42	BESC835	P. trichocarpa	trichocarpa - resistant	87.04614936	S37
S38-16S-Leaf-Endo	LE	BESC261 corv #15	BESC261	P. trichocarpa	trichocarpa - resistant	6.581849476	S38
S38-16S-Leaf-wash-run2	LW	BESC261 corv #15	BESC261	P. trichocarpa	trichocarpa - resistant	15.47884833	S38
S38-16S-Leafwash-16S_run3	LW	BESC261 corv #15	BESC261	P. trichocarpa	trichocarpa - resistant	15.47884833	S38
S38-16S-Leafwash-Endo-Endo	LW	BESC261 corv #15	BESC261	P. trichocarpa	trichocarpa - resistant	15.47884833	S38
S38-16S-Root-endo-16S	RE	BESC261 corv #15	BESC261	P. trichocarpa	trichocarpa - resistant	13.77722283	S38
S38-16S-Root-endo-run2	RE	BESC261 corv #15	BESC261	P. trichocarpa	trichocarpa - resistant	13.77722283	S38
S38-16S-Rhizo	RH	BESC261 corv #15	BESC261	P. trichocarpa	trichocarpa - resistant	223.2442583	S38
S39-16S-Leaf-Endo-redo	LE	BESC22 corv #15	BESC22	P. trichocarpa	trichocarpa - resistant	131.8144694	S39
S39-16S-Leaf-wash-run2	LW	BESC22 corv #15	BESC22	P. trichocarpa	trichocarpa - resistant	5.040801361	S39
S39-16S-Leafwash-16S_run3	LW	BESC22 corv #15	BESC22	P. trichocarpa	trichocarpa - resistant	5.040801361	S39
S39-16S-Leafwash-Endo-Endo	LW	BESC22 corv #15	BESC22	P. trichocarpa	trichocarpa - resistant	5.040801361	S39
S39-16S-Root-endo-16S	RE	BESC22 corv #15	BESC22	P. trichocarpa	trichocarpa - resistant	4.824246293	S39
S39-16S-Root-endo-redo	RE	BESC22 corv #15	BESC22	P. trichocarpa	trichocarpa - resistant	4.824246293	S39
S39-16S-Rhizo	RH	BESC22 corv #15	BESC22	P. trichocarpa	trichocarpa - resistant	5.003049531	S39
S4-16S-Leaf-Endo	LE	GW9823 corv #5	GW9823	P. trichocarpa	trichocarpa - resistant	12.95857431	S4
S4-16S-Root-endo-16S	RE	GW9823 corv #5	GW9823	P. trichocarpa	trichocarpa - resistant	0.329743941	S4
S4-16S-Rhizo	RH	GW9823 corv #5	GW9823	P. trichocarpa	trichocarpa - resistant	10.52880119	S4
S40-16S-Leaf-Endo-redo	LE	BESC835 corv #1	BESC835	P. trichocarpa	trichocarpa - resistant	27.76437149	S40
S40-16S-Leaf-wash-run2	LW	BESC835 corv #1	BESC835	P. trichocarpa	trichocarpa - resistant	14.71195425	S40
S40-16S-Leafwash-16S_run3	LW	BESC835 corv #1	BESC835	P. trichocarpa	trichocarpa - resistant	14.71195425	S40
S40-16S-Leafwash-Endo-Endo	LW	BESC835 corv #1	BESC835	P. trichocarpa	trichocarpa - resistant	14.71195425	S40
S40-16S-Root-endo-16S	RE	BESC835 corv #1	BESC835	P. trichocarpa	trichocarpa - resistant	30.79289945	S40
S40-16S-Root-endo-run2	RE	BESC835 corv #1	BESC835	P. trichocarpa	trichocarpa - resistant	30.79289945	S40
S40-16S-Rhizo	RH	BESC835 corv #1	BESC835	P. trichocarpa	trichocarpa - resistant	7.808544352	S40
S41-16S-Leaf-Endo	LE	BESC835 corv #5	BESC835	P. trichocarpa	trichocarpa - resistant	16.54211131	S41
S41-16S-Leaf-Endo-redo	LE	BESC835 corv #5	BESC835	P. trichocarpa	trichocarpa - resistant	16.54211131	S41
S41-16S-Leafwash-16S_run3	LW	BESC835 corv #5	BESC835	P. trichocarpa	trichocarpa - resistant	2.39799449	S41
S41-16S-Leafwash-Endo-Endo	LW	BESC835 corv #5	BESC835	P. trichocarpa	trichocarpa - resistant	2.39799449	S41
S41-16S-Root-endo-16S	RE	BESC835 corv #5	BESC835	P. trichocarpa	trichocarpa - resistant	28.26388923	S41
S41-16S-Root-endo-16S_run3	RE	BESC835 corv #5	BESC835	P. trichocarpa	trichocarpa - resistant	28.26388923	S41
S41-16S-Rhizo	RH	BESC835 corv #5	BESC835	P. trichocarpa	trichocarpa - resistant	4.980130795	S41
S42-16S-Leaf-Endo	LE	BESC835 corv #12	BESC835	P. trichocarpa	trichocarpa - resistant	13.38783318	S42
S42-16S-Leafwash-16S_run3	LW	BESC835 corv #12	BESC835	P. trichocarpa	trichocarpa - resistant	1.701678941	S42
S42-16S-Leafwash-Endo-Endo	LW	BESC835 corv #12	BESC835	P. trichocarpa	trichocarpa - resistant	1.701678941	S42
S42-16S-Root-endo-16S	RE	BESC835 corv #12	BESC835	P. trichocarpa	trichocarpa - resistant	0.183878764	S42
S42-16S-Root-endo-redo	RE	BESC835 corv #12	BESC835	P. trichocarpa	trichocarpa - resistant	0.183878764	S42
S42-16S-Rhizo	RH	BESC835 corv #12	BESC835	P. trichocarpa	trichocarpa - resistant	6.119474214	S42
S48-16S-Leaf-Endo	LE	GW9823 #13	GW9823	P. trichocarpa	trichocarpa - resistant	1.387607055	S48
S48-16S-Leafwash-Endo-Endo	LW	GW9823 #13	GW9823	P. trichocarpa	trichocarpa - resistant	3.890142968	S48
S48-16S-Root-endo-16S	RE	GW9823 #13	GW9823	P. trichocarpa	trichocarpa - resistant	13.48515194	S48
S48-16S-Rhizo	RH	GW9823 #13	GW9823	P. trichocarpa	trichocarpa - resistant	28.11837795	S48
S49-16S-Leaf-Endo	LE	GW9823 corv #1	GW9823	P. trichocarpa	trichocarpa - resistant	36.8968269	S49
S49-16S-Leafwash-Endo-Endo	LW	GW9823 corv #1	GW9823	P. trichocarpa	trichocarpa - resistant	3.152914105	S49
S49-16S-Root-endo-16S	RE	GW9823 corv #1	GW9823	P. trichocarpa	trichocarpa - resistant	38.78851497	S49
