Target	Full_sample_name	SampleID	SampleType	sample_type	Copy_number_per_ul
Septoria	S74_leaf_wash	S74	leaf_wash	LW	NA
Septoria	S75_leaf_wash	S75	leaf_wash	LW	NA
Septoria	S76_leaf_wash	S76	leaf_wash	LW	2.331930472
Septoria	S1_rhizosphere	S1	rhizosphere	RH	67.90904107
Septoria	S10_rhizosphere	S10	rhizosphere	RH	415.9736465
Septoria	S11_rhizosphere	S11	rhizosphere	RH	349.7029293
Septoria	S12_rhizosphere	S12	rhizosphere	RH	212.6697837
Septoria	S13_rhizosphere	S13	rhizosphere	RH	741.7501896
Septoria	S14_rhizosphere	S14	rhizosphere	RH	34.46620602
Septoria	S15_rhizosphere	S15	rhizosphere	RH	1.737082557
Septoria	S16_rhizosphere	S16	rhizosphere	RH	106.777483
Septoria	S17_rhizosphere	S17	rhizosphere	RH	5.634201179
Septoria	S18_rhizosphere	S18	rhizosphere	RH	5.742589062
Septoria	S19_rhizosphere	S19	rhizosphere	RH	4.021588655
Septoria	S2_rhizosphere	S2	rhizosphere	RH	63.92525894
Septoria	S20_rhizosphere	S20	rhizosphere	RH	440.246442
Septoria	S21_rhizosphere	S21	rhizosphere	RH	478.5575287
Septoria	S22_rhizosphere	S22	rhizosphere	RH	23.66453904
Septoria	S23_rhizosphere	S23	rhizosphere	RH	81.91792962
Septoria	S24_rhizosphere	S24	rhizosphere	RH	77.33820972
Septoria	S25_rhizosphere	S25	rhizosphere	RH	39.4814872
Septoria	S26_rhizosphere	S26	rhizosphere	RH	18.20878007
Septoria	S27_rhizosphere	S27	rhizosphere	RH	239.8834725
Septoria	S28_rhizosphere	S28	rhizosphere	RH	60.02300099
Septoria	S29_rhizosphere	S29	rhizosphere	RH	464.1258976
Septoria	S3_rhizosphere	S3	rhizosphere	RH	13.84043381
Septoria	S30_rhizosphere	S30	rhizosphere	RH	18.28847165
Septoria	S31_rhizosphere	S31	rhizosphere	RH	26.76161624
Septoria	S33_rhizosphere	S33	rhizosphere	RH	66.5951607
Septoria	S34_rhizosphere	S34	rhizosphere	RH	33.46580342
Septoria	S35_rhizosphere	S35	rhizosphere	RH	90.59949051
Septoria	S36_rhizosphere	S36	rhizosphere	RH	173.9900884
Septoria	S37_rhizosphere	S37	rhizosphere	RH	87.04614936
Septoria	S38_rhizosphere	S38	rhizosphere	RH	223.2442583
Septoria	S39_rhizosphere	S39	rhizosphere	RH	5.003049531
Septoria	S4_rhizosphere	S4	rhizosphere	RH	10.52880119
Septoria	S40_rhizosphere	S40	rhizosphere	RH	7.808544352
Septoria	S41_rhizosphere	S41	rhizosphere	RH	4.980130795
Septoria	S42_rhizosphere	S42	rhizosphere	RH	6.119474214
Septoria	S43_rhizosphere	S43	rhizosphere	RH	74.75965836
